UID                 		level		m_spent		m_received		i_sold		i_bought
winy10              		71.00		0.00000		0.00000		0.00000		2800.00000
tadocvip20005000    		99.00		0.00000		0.00000		700.00000		0.00000
nhuvay2011          		99.00		1110000.00000		1110000.00000		200.00000		200.00000
bibidong1984        		98.00		0.00000		0.00000		0.00000		800.00000
sugianhanloai1984   		99.00		0.00000		1000000.00000		1200.00000		300.00000
levanchung20167777  		65.00		0.00000		0.00000		500.00000		1000.00000
kesjtinh0123        		98.00		1600000.00000		25000000.00000		500.00000		100.00000
chipbor8x           		99.00		0.00000		0.00000		0.00000		0.00000
myvinh04            		99.00		1330000.00000		2320000.00000		1600.00000		300.00000
nhtl070560          		99.00		0.00000		0.00000		648.00000		848.00000
anhkiemtra2kj4k     		83.00		0.00000		0.00000		300.00000		450.00000
loaloa0001          		88.00		0.00000		0.00000		0.00000		0.00000
doigiangho12344     		96.00		10000000.00000		30000000.00000		1200.00000		4800.00000
vienthongphuhung2014ag		99.00		0.00000		0.00000		0.00000		350.00000
zid.brbao1340       		96.00		0.00000		48500000.00000		500.00000		0.00000
ttv0104i            		98.00		13000000.00000		0.00000		300.00000		500.00000
embo2411            		81.00		22300000.00000		7300000.00000		350.00000		350.00000
ilusm6551           		98.00		0.00000		0.00000		0.00000		0.00000
onlinecbq           		90.00		0.00000		0.00000		1500.00000		0.00000
hontoidico123       		98.00		0.00000		0.00000		0.00000		12210.00000
rongchieudetieit    		80.00		0.00000		0.00000		150.00000		150.00000
vnmngoaho026        		50.00		0.00000		14000000.00000		0.00000		0.00000
vnmngoaho025        		50.00		0.00000		21757229.00000		0.00000		0.00000
haitac14750         		67.00		0.00000		0.00000		0.00000		304.00000
hoanganhthaovnn     		99.00		0.00000		800000.00000		100.00000		0.00000
hajtacthaj123       		99.00		20000000.00000		20400000.00000		0.00000		0.00000
luislexuxtmpj       		81.00		0.00000		0.00000		300.00000		0.00000
lovtube0001         		99.00		5000000.00000		0.00000		800.00000		100.00000
giatga9x            		44.00		90000.00000		40000.00000		318.00000		0.00000
teika0222           		93.00		0.00000		0.00000		0.00000		300.00000
teika0221           		90.00		0.00000		0.00000		0.00000		300.00000
gaiqragengonma      		80.00		0.00000		0.00000		600.00000		0.00000
apolatalk99         		93.00		0.00000		0.00000		0.00000		0.00000
nhtl00020001        		80.00		0.00000		0.00000		0.00000		1300.00000
teika0225           		91.00		0.00000		0.00000		0.00000		2400.00000
nguyenngoco         		99.00		0.00000		0.00000		5656.00000		301.00000
kembai2             		35.00		200000.00000		400000.00000		407.00000		5291.00000
tvday07             		96.00		0.00000		0.00000		0.00000		500.00000
satthu222222222     		85.00		29000000.00000		0.00000		0.00000		400.00000
teika0228           		91.00		0.00000		52113.00000		0.00000		0.00000
kembai6             		99.00		0.00000		0.00000		0.00000		350.00000
caooliutrucmamy     		79.00		0.00000		0.00000		600.00000		600.00000
kembai5             		10.00		0.00000		200000.00000		5698.00000		0.00000
menngoa2ho0538      		87.00		0.00000		84710.00000		0.00000		0.00000
audax11             		99.00		0.00000		0.00000		0.00000		0.00000
volam2268561        		91.00		0.00000		0.00000		0.00000		0.00000
lehoakhang222       		79.00		609100.00000		0.00000		100.00000		400.00000
teika3754           		93.00		0.00000		0.00000		0.00000		600.00000
tasekhongrojxp4lo   		79.00		0.00000		0.00000		150.00000		0.00000
tranhongphuong0937136427		51.00		3000000.00000		3300000.00000		0.00000		0.00000
phungchilinhvn2062  		94.00		0.00000		22000000.00000		800.00000		600.00000
chuberongobqr       		80.00		0.00000		0.00000		900.00000		0.00000
anhtuoibg9x         		99.00		0.00000		0.00000		0.00000		0.00000
menngoa2ho0534      		87.00		0.00000		0.00000		0.00000		2100.00000
menngoa2ho0535      		88.00		0.00000		0.00000		0.00000		300.00000
zphuoc98            		61.00		0.00000		0.00000		0.00000		0.00000
thukhodaiung        		85.00		114000000.00000		72990000.00000		3400.00000		1200.00000
hetcachlinhff2y     		81.00		0.00000		0.00000		300.00000		0.00000
caliathiatialia     		99.00		30000000.00000		0.00000		3708.00000		0.00000
a3511513a           		96.00		0.00000		500000.00000		1500.00000		2500.00000
minhvl2013          		91.00		0.00000		0.00000		350.00000		350.00000
anhembuon9xy3n      		84.00		0.00000		0.00000		300.00000		300.00000
nhoccalvin1999      		69.00		0.00000		3500000.00000		2308.00000		800.00000
kieuthy1802         		94.00		0.00000		0.00000		700.00000		0.00000
imagine96iqzp       		84.00		0.00000		0.00000		150.00000		150.00000
ngothanhquang0214119		82.00		700000.00000		1500000.00000		1700.00000		551.00000
kiemtienbb23        		89.00		0.00000		0.00000		300.00000		0.00000
mythitrakim         		83.00		0.00000		200000.00000		0.00000		0.00000
phut.cuoii          		68.00		0.00000		3000000.00000		18000.00000		1000.00000
vuxuannamphong2012  		99.00		0.00000		0.00000		0.00000		200.00000
minhchil1986        		99.00		9400000.00000		8700000.00000		0.00000		350.00000
thienlangytbt01     		98.00		0.00000		2000000.00000		800.00000		0.00000
vanhungviet2015     		76.00		0.00000		0.00000		400.00000		500.00000
vuamoclop9c         		73.00		0.00000		0.00000		200.00000		100.00000
thlitriathocchit    		80.00		0.00000		0.00000		150.00000		150.00000
teika0085           		91.00		0.00000		0.00000		0.00000		300.00000
lleeshin204         		97.00		0.00000		0.00000		2000.00000		2709.00000
teika0083           		92.00		0.00000		0.00000		0.00000		600.00000
toiyeuvolam2012vn   		91.00		520000.00000		0.00000		0.00000		300.00000
anhseyeuem2266      		99.00		0.00000		44720000.00000		1000.00000		350.00000
teika0080           		86.00		0.00000		35492.00000		0.00000		300.00000
sqyboiloichonpirey  		79.00		0.00000		0.00000		300.00000		0.00000
nguyenvanhau17071987		99.00		0.00000		0.00000		0.00000		1204.00000
xalongmind16z       		83.00		0.00000		0.00000		150.00000		150.00000
loictm333           		95.00		0.00000		100000.00000		0.00000		0.00000
teika0088           		92.00		0.00000		0.00000		0.00000		300.00000
teika6309           		92.00		0.00000		45939.00000		0.00000		2700.00000
lyhaohuy            		95.00		0.00000		7000000.00000		0.00000		350.00000
thuanthanhlongll01  		76.00		0.00000		0.00000		0.00000		0.00000
cuteocodondeocanai  		99.00		200000.00000		0.00000		2400.00000		0.00000
anhson96qn          		45.00		170000.00000		250000.00000		400.00000		0.00000
facebook520146      		59.00		0.00000		0.00000		0.00000		0.00000
volammynu0102       		94.00		0.00000		0.00000		0.00000		500.00000
viphklb00021        		99.00		0.00000		0.00000		0.00000		0.00000
tungnham2015        		98.00		6000000.00000		66000000.00000		100.00000		1400.00000
ngaynaykhongcoem1   		90.00		0.00000		0.00000		800.00000		100.00000
menlinhbaoson0084   		86.00		0.00000		0.00000		0.00000		600.00000
khucdaynlsaesui     		79.00		0.00000		0.00000		300.00000		300.00000
chuoi8006           		99.00		2000000.00000		0.00000		0.00000		0.00000
lungdanhthienha004  		11.00		0.00000		1000000.00000		500.00000		0.00000
menhanglong0208     		87.00		0.00000		0.00000		0.00000		900.00000
lungdanhthienha003  		44.00		1000000.00000		0.00000		0.00000		500.00000
dathaolc            		99.00		0.00000		0.00000		0.00000		208.00000
thongandtrinh       		99.00		0.00000		0.00000		0.00000		0.00000
teika10800          		91.00		0.00000		0.00000		0.00000		600.00000
danphongcum1        		97.00		0.00000		0.00000		0.00000		0.00000
cherenlsd1doanhtruon		79.00		0.00000		0.00000		300.00000		300.00000
nguyennguyenxinh    		79.00		0.00000		0.00000		600.00000		1500.00000
trandangxuyen1992   		97.00		0.00000		0.00000		0.00000		600.00000
haohuuae11          		85.00		0.00000		0.00000		350.00000		350.00000
anhquana222ivwa     		82.00		0.00000		0.00000		300.00000		600.00000
nguyenthihongut5    		88.00		4000000.00000		0.00000		400.00000		2400.00000
phucphongphuno      		48.00		0.00000		0.00000		9200.00000		200.00000
sgiaminh3           		96.00		2000000.00000		0.00000		0.00000		0.00000
mrtaytiger1990      		97.00		0.00000		0.00000		0.00000		0.00000
tuanshisha922       		87.00		0.00000		387217.00000		0.00000		300.00000
nguyenthilanhuong1982		96.00		0.00000		55000000.00000		0.00000		400.00000
volam640288         		83.00		100000.00000		0.00000		350.00000		350.00000
trinhtuanan2013vn   		84.00		0.00000		0.00000		0.00000		0.00000
nguyenthuyenhn      		99.00		0.00000		0.00000		0.00000		2321.00000
headedboy2012       		98.00		0.00000		0.00000		700.00000		1400.00000
auduongthancong     		99.00		350000.00000		0.00000		0.00000		200.00000
